author_id,created_at,public_metrics,text,id
1041202867594358785,2021-11-30T07:14:35.000Z,"{'retweet_count': 58, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @KoreanUpdates: Agency confirms that #KoKyungPyo is tested positive for COVID-19 earlier today. He has been vaccinated in Aug &amp; Oct. 

R…",1465580000443207694
21118184,2021-11-30T07:14:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",@shesgonestella @FernBrady I'd leave the country but obvs Covid causes a problem there,1465580000271388678
104075684,2021-11-30T07:14:35.000Z,"{'retweet_count': 1368, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @mrmarkdolan: Well done everyone. They don’t care uNleSs iTs cOviD… 🦠🦠 https://t.co/z1LwWNeqWX,1465580000074248194
1197757502307360768,2021-11-30T07:14:35.000Z,"{'retweet_count': 484, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @karynmaughan: Smallpox - killed every 4th person infected before the WHO's global vaccination program. It was eradicated in 10 years.…,1465579999960911876
226098607,2021-11-30T07:14:35.000Z,"{'retweet_count': 1045, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @Korseries: ต้นสังกัดแจ้งข่าว โกคยองพโย ติดโควิด-19 - กองถ่ายภาพยนตร์ใหม่ Seoul Vibe หยุดพักการถ่ายทำชั่วคราว

ขอให้โกคยองพโยหายไว ๆ และ…",1465579999860121600
1183157737376534528,2021-11-30T07:14:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",one Christmas decoration I love at the WH was that huge mantle garland that was behind Biden today when he gave his short Covid speech.  That is very pretty.,1465579999721709571
300601959,2021-11-30T07:14:35.000Z,"{'retweet_count': 91, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @USMortality: Strongest risk factors for COVID-19 death:
1) obesity (aRR: 1.3)
2) anxiety and fear-related disorders (aRR: 1.28)
3) diab…",1465579998924914694
1307738190552457217,2021-11-30T07:14:35.000Z,"{'retweet_count': 7, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","RT @mecaimh: Meslektaşımız Hemşire Gülcan Aslan ı covid'den görev şehidi verdik.
Allah rahmet eylesin. https://t.co/SRKlce27xu",1465579998430076935
822578384685461506,2021-11-30T07:14:35.000Z,"{'retweet_count': 179, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @JarrodJf: BREAKING: U.S. Federal Judge Halts Biden's COVID-19 Jab Mandate For Healthcare Workers in 10 States https://t.co/Rmf9pmOIFl,1465579998002102281
1162666071318507520,2021-11-30T07:14:35.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","No case of Omicron variant found in Oman
@OmaniMOH 

https://t.co/g2ql1wwnYy",1465579997628878849
724532231394463744,2021-11-30T07:14:35.000Z,"{'retweet_count': 12, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",RT @mygovindia: If you are planning to travel by air then here are the guidelines issued by Govt. of India. Follow these &amp; stay safe! #Indi…,1465579997482020867
