id,location,username,name
1041202867594358785,chanbaek ‎(✿˘˘✿),byunfuse06,배큥 D-438
21118184,London & Liverpool,soapachu,badly-drawn bee 🐝
104075684,"Minnesota, USA",ThisIsNotTea,Thisisnottea
1197757502307360768,"Soweto, South Africa",Mmathuto_,MaMthethwa🦋
226098607,Thailand,baifern17589,♣︎ｂａｉｆｅｒｎ° feat. 공감🌹
1183157737376534528,nan,PicardSa,"S. Picard, Deplorable, Let's Go Brandon!!"
300601959,nan,Mike_Glendaran,El Caballero Errante
1307738190552457217,nan,hemsire_bahar,Bahar Hemşire
822578384685461506,"California, USA",rdunc17,Officious Intermeddler
1162666071318507520,Oman,arabiandailys,Arabian Daily
724532231394463744,"New Delhi, India",MinesMinIndia,Ministry Of Mines
2250661290,nan,qw150qw,13214
2950729953,"Lima, Perú",LimaAlDia,Lima Al Día
12341182,"Long Beach, CA",razamakesart,raza ⟠
1423660637855502338,nan,WrennHill,Wren Hill 🌸
21664279,FL,VetsOnTheWatch,BigWill
593565083,she/her,Nekusagichan,BiBi🧛‍♀️🌹
15427690,Mitchell SD,dailyrepublic,Mitchell Republic
1345772295567134720,nan,AkimBouguerra,Bouguerra Akim
2765707316,"Kuala Lumpur, Wilayah Persekut",_rezarazali_,🇲🇾 Reza Razali 🇵🇸
1266776870336544769,nan,Accablanteh,Accablante 🌙
1169500537013833730,Trivandrum & kanyakumari,DefuIrin,Irin
1384674729366376448,nan,AconBiotech,ACON Biotech
4917469641,"Florida, USA",slevinusatarius,Slevinus Artarius 🔜 Who Knows! Cheese!
1266931379792576512,nan,BIDEN46MVP,BidenIsMyPresident!
1409235015213400080,nan,josh25300787,josh
1328978233249902594,nan,VSovranista,Vergilius (Italirico-sovranista)
2179182532,Oron,eminent_james,Eyoukim Eteobong
297904272,Vtuber Hell,stump_bear,Tika
1061482798110797824,Australia,suss_mark,Dr Mark Suss
1248268321251876866,"Scotland, United Kingdom",SteveG06322664,Steve #NoMasks - Refusenik
136907894,nan,stn_in,#INDIAhatesCAA_NRC/NPR
938447786684633093,Villabona,PedroMiguel1965,Pedro M.
1398818630159065089,nan,sto_denebkaitos,북쪽왕관자리 / Corona Borealis
1421875768800387076,nan,kazuhiroand,-
1062278949693243393,"Languedoc-Roussillon, France",Ventre_bleu30,Ventre bleu
49250418,"New York, NY",PaulaRo25,Paula Caruso
48704881,"Utrecht, the Netherlands",JasperKlewer,Jasper Klewer
1119313725784150017,"Marina, CA",ccwriter9,CeliaSueHecht
1101610159439261699,"Centurion, South Africa",Tshepo_Baloyi_,®️Gagu™️
608271932,nan,ethan_boyce,Ethh
21533462,"Brisbane, Australia",GreeGreece,Tony Thomas
119449012,Cannes,JEEPIE57,Jean-Paul 🌞🌴😎
1255120440659529728,nan,Mike95320097,Mike
4700419050,nan,5fec93919a544d3,NSV
756823283769769984,nan,Fourgoodreasons,Amanda Shelley
571107562,nan,fron_,Féron Louisette
4258125075,nan,neoksleen,Koen Sleen
1415025084331331586,nan,ElianeHaim,ELIANE HAIM
1017851670,Roma e Napoli,DiVicio,Matteo DV
223896376,"Stamford, Rutland",g15elb,Giselle Brannan
806190132,+6221 ,renseoneday,kæren
905078563870736385,Togo,LomeAirport,AIGE
1086221350086369280,nan,aymarre_jean,Jean Aymarre 🇲🇫
383006915,The Emerald City,MicheleDTweets,Michele Dotson | Let the People Vote!
110462806,nan,kakudaikyoo,拡大鏡 👀
262083399,"Sandton, South Africa",jetmoses21,Jared
66968296,Turkey,bianet_org,bianet
1299318885821419522,"Islas Canarias, España",Dlanochealdia,De la Noche al Día
1022279918,"الرياض, المملكة العربية السعود",naif54243700,naif khazim
1432452931002019849,nan,L_uomoqualcuno,epikhairekakia
2745248363,nan,jcksngn,Gene
993736432526221312,nan,Lupita96304901,Lupita #MovilizacionReformaElectrica
3598470976,Deutschland,Chondraki,🖤💉💉Silke Silke 🙏#NoCovid 🙏 🇮🇱
95651804,Brasil,brasigois,Brasigóis Felício
264195664,"Pretoria, RSA",SwissDarkness,Kenjutsu Master Blaq
1118933623,"Scotland, United Kingdom",ArtChaz,Charlie
37950212,"Bangkok, Thailand",ThaiPBS,Thai PBS
1244227827723046915,nan,Ligeis0591,Ligeis0591
18386309,Scarif ,MannuMellow,Bumbling Paladin
612385936,"Vienna, Austria",ruslandzhebr,Ruslan
1157326977994334208,nan,tothemoonlogic,Moon Money
1100733802735960064,Ziemia,SebastianMajer3,Sebastian Majer 🇮🇩
42175659,nan,chrisallen236,Bum Ba Clart
197192557,QUITO,GabiOchoadeRoba,Gabriela Ochoa
1370240402444324869,"Perth, Western Australia",ausjbird446,ausjbird446💉💉 AZ Vax x 2👍
2149709558,nan,lac4justice,Luis Carrillo
25077472,"Lancaster, UK",GuardianDigital,Lancaster Guardian
1316956757617356800,"Katoomba, Australia",KatoombaReview,Warren Ross
1055098174464053249,nan,harshdash1,harshdash
1485324258,Roma,ciculatin,Aldo Tim
1228998719242166273,Manchester/London,blue_denton,Blue Dave London (formerly Denton)
134112073,"Berlin, Germany",arletted94,Arlette Danielle
707400138,61 Ursae Majoris,TFR_BIGMOSA,TFR_BIGMOSA（可愛いクジン人、地球暮らしを楽しむ長期滞在者）
758124958610444288,Southern California,Tecgale,Galebee
14268323,WV US,sandy4409,SLACK-JAWED YOKEL
216413749,nan,TheOmegaGeek,Dr. Omega 🦞
1686122564,"Perth, Western Australia",AussiePunter32,Andrew Carter
1425508764489289734,nan,Ryan_Radd,Ryan
900714383642431488,nan,BVellisco1,Bettybop
443931038,"Couture-sur-Loir, France",leclercemmanuel,Emmanuel LECLERC
4704367111,nan,Dagny_R_Taggert,Dagny-Reagan-Taggert
883984732735782912,Not Getting Cheated On,GichingiriEric,Afrocentric
157383853,DC metropolitan area,LindaLarsonKemp,"Linda Kemp, MCIS DSc(abd) #BlackLivesMatter"
1259461748,nan,PhilNews247,PhilNews
22022381,Pacific Northwest ,DoraMariaCosta,Dora Maria Costa
2232213336,nan,Stone1_0,Newton Stone
55344307,México,puntoporpunto,PUNTOporPUNTO
1463010317730938881,nan,TarendraBru,sorajit
2352977233,3mile od granic Warszawy,duda45tlen,DUDA
1335408357889486849,Sevillε,VOZ00669868,M.......7
1306280120722829315,"Waukesha, WI",wiz_political,Wisconsin Neanderthal 🇺🇸🧀
754312765569851392,"Tiny, Ontario",bewitched49,Catherine
70662916,"Jakarta, Indonesia",AndreasMarbun_,Andreas Marbun
84286851,wivenhoe,tristandawson,Tristan Dawson
845670770747453440,"Portland, OR",Jeffsix11,JAB
3263253388,"London, England",meNabster,theNabster #Doom #Gloom 🔥☠️
1445896096178323461,nan,_tyler_durdn_,Tyler durden
929707165128056832,North Wales,MiftyJackson,💙#NHSblueheart💙Mifty J💙 remembering Katie
376130777,nan,iIazkano,Iñigo Lazkano
366659942,Europe,scott_mac_rae,F**KBoris-vote Tory get Corruption & Dementia Tax
1303458640360243207,nan,GLORI34437209,GloriaMoneo
930093566,Quito,fernandobgt,Fernando Buendia
1425888438574792706,nan,Anggie_Angus,Ħarold Angus
910042105611014144,nan,ShuaibAlitah,shuaib alitah
307278565,Bergamo,Dome689,Dome Buratti
3033589653,"Perpignan, France",aranaudaniel,Daniel Charbonniere 🌺
1445589009690882053,nan,Bill13887141,Bill
298000830,Cape Town,Brandon_degee,BranDolly Parton 🇵🇸🏳️‍🌈
832032916523859968,"Florida, USA",EdJarring,Ed Jarrin
557413440,Uruguay,AliciaAlgar,Alicia
16420692,nan,Catman_Rilea,Donald Rilea
218999041,Minneapolis,d_feldman,Daniel Feldman
3834057442,nan,AWelzandt,Alicja Narodowa
771643144727240708,Metaverse,StelliesMafia,JSΞ₿OSS
966933772733173760,Switzerland,Ominsey,Ominsey v2021.36.5.8
430326858,"Georgia, USA",Progress99vs1,IngridProgess99vs1
3329873547,England,GailStubbins,Gail Stubbins
